day,prince_georges,montgomery,baltimore_county,anne_arundel,howard
Day1,12642,12114,9953,8012,5220
Day2,11809,11813,9413,7446,4728
Day3,7384,7314,5902,4386,2769
Day4,6297,6760,6076,4088,2442
Day5,11834,10646,9256,7332,3993
Day6,11809,10780,9715,7627,3901
